,Date,Startup,Industry,Location,Investor,Type,Amount
54,28-10-2020,CredAble,FinTech,Mumbai,Oaks Asset Management and V’Ocean Investment,Follow-On,"45,00,000"
55,21-10-2020,Pocket FM,Information Technology,Bangalore,"Tencent, Times Group and Lightspeed India",Series A,"55,00,000"
56,04-08-2020,InVideo,Technology,Bangalore,Sequoia India,Series A,"1,50,00,000"
57,08-09-2020,BYJU'S,EduTech,Bangalore,"Silver Lake, Tiger Global, General Atlantic and Owl Ventures
",Private Equity,"50,00,00,000"
58,12-09-2020,mCaffeine,Personal Care,Mumbai,"Amicus Capital Private Equity I LLP, Amicus Capital Partners India Fund I and RP-SG Venture Fund 1",Series B,"3,000,000
"
59,09-09-2020,Qshala,EduTech,Bangalore,Rainmatter Capital,Angel,"3,70,000"
60,02-09-2020,Winzo,Online Gaming,New Delhi,"Kalaari Capital Partners, IndigoEdge Management Consultancy",Series B,"1,55,00,000"
61,09-09-2020,Hippo Video,Video Customer Experience(CX) Platform,"Newark, Delaware, United States of Amercia","Alpha Wave Incubation, Exfinity Venture Partners and existing backers. 
",Series A,"45,00,000"
62,07-09-2020,Melorra,E-commerce,Bangalore,"Shadow Holdings, Lightbox.",Debt Financing,"89,00,000"
63,07-09-2020,1mg,E-commerce,Gurgaon,"Gaja Capital, Tata Capital, Partners Group",In Progress,"10,00,00,000"
64,31-08-2020,mfine,HealthTech,Bangalore,Caretech Pte Inc,Series B,"54,00,000"
65,31-08-2020,Apna,Human Resources,Bangalore,Lightspeed India and Sequoia Capital India,Series A,"80,00,000"
66,03-09-2020,Railofy,Transportation,Mumbai,Chiratae Ventures,Seed,"9,50,000"
67,08-09-2020,Cell Propulsion,Automobile,Bangalore,growX Ventures and Micelio,pre-Series A,NA
68,15-08-2020,Practo,HealthTech,Bangalore,"A1A Company
",Series F,"3,20,00,000"
69,13-08-2020,Medlife,E-commerce,Bangalore,Prasid Uno Family Trust and SC Credit Fund,,"23,000,000
"
70,13-08-2020,"HungerBox
",FoodTech,Bangalore,"One97, Sabre Partners Trust, Pratithi Investment Trust, and Srihari Kumar",Series D1,"15,60,000"
71,04-08-2020,Dunzo,Hyper-local Logistics,Bangalore,Existing Backers,In Progress,"3,00,00,000"
72,11-08-2020,Terra.do,EduTech,"Stanford, California, ","Stanford Angels and Entrepreneurs (India), BEENEXT Emerging Asia, Rainmatter Capital

",Seed,"14,00,000"
73,12-08-2020,Classplus,EduTech,Noida,Falcon Edge,In Progress,"1,50,00,000"
74,14-08-2020,Niyo,FinTech,Bangalore,Niyo Solutions Inc.,,"60,00,000"
75,10-08-2020,ZestMoney,FinTech,Bangalore,Primrose Hills Ventures,,"1,06,70,000"
